Title,Author,
BetaBall,Erik Malinowski,
Hoop Dreams ,Paul Robert Walker,
How to be a footballer,Peter Crouch,
Necessary Roughness,Marie G Lee,
Start Something that matters,Blake Mycoskie,
What is the What,Dave Eggers,
how to,Randall Munroe,
Sin and Syntax,Constance Hale,
Up from Slavery,Booker T Washington,
Helga's Diary,Helga Weiss,
Aliya,Liel Leibovitz,
Lies My Teacher Told Me,James W Lowen,
White Trash. ,Nancy Isenberg,
Riding the Bus with My Sister,Rachel Simon,
You are Not so Smart,David McRaney,
A suprised Queenhood in the new black sun,Angela Jackson,
The souls of Black Folk,Du Bois,
Hood Feminism,Mikki Kendall,
Open wide the freedom Gates,Dorothy Height,
Biting the Hand,Julia Lee,
The New Jim Crow,Michelle Alexander,
How to be an Antiracist,Ibram X. Kendi,
Imagine,Jonah Lehrer,
Under pressure,Carl Honore,
Cosmos,Carl Sagan,
The flat world and Education,Linda Darling-Hammond,
Extraordinary Teacher,Fred Stephenson,
F in Exams,Richard Benson,
High School Hacks,Brianna Smrke,
Me talk pretty one day,David Sedaris,
Why We sleep,Matthew Walker,
Savage Inequalities,Johnathan Kozol,
H is for Hawk,Helen Macdonald,
The Future is Analog ,David Sax,
The Waste Land,Matthew Hollis,
All art is Propaganda,George Orwell,
Trigger Happy,Steven Poole,
The Betrayal of Mary Queen of Scots,Kate Williams,
The art of warfare,Sun-tzu,
Spare,Prince Harry,
Notebooks,Albert Camus,
Steinbeck,Elaine Steinbeck and Robert Wallsten,
How to save the world for just a Trillion dollars,Rowan Hooper,
Manufacturing Consent,Edward S herman and Noam Chomsky,
The greatest stories never told,Rick Beyer,
Queens of A Fallen World,Kate Cooper,
The Shift,Tinx,
Killing rage,bell hooks,
Other Inquisitions ,Jorge Luis Borges,
Stoicism and the art of happiness,Donald RObert,
The Science of Can and Can't,Chiara Marletto,
An Infinity of WOrlds,Will Kinney,
Dad jokes,,
Like literaly Dude,Valerie Fridland,
Sensational,Kim todd,
Meditations,Marcus Aurelius,
Discourse on the origin of inequality,Jean Jacquess Rousseau,
the archaeology of knowledge,Micheal Foucault,
Way Past Cool,Jess Mowry,
Blood Meridian,Cormac McCarthy,
What do you want out of life?,Valerie Tiberius,
Obasan,Joy Kogawa,
Witness,Karen Hesse,
We just want to live here,Amal Rifa'i and Odelia Ainbinder,
We all fall down,Robert Cormier,
Th1rteen R3asons Why,Jay Asher,
The Wanderer,Sharon Creech,
The View from Saturday,E. L. Konigsburg,
The secret loves of greek girls,Hope Nicholson,
The problem with forever,Jennifer L Armenttrout,
The outsiders,S.E Hinton,
The outsiders,S.E Hinton,
The outcasts of 19 Schuyler place,E. L. Konigsburg,
The Moor's Account,Laila Lalami,
Found,Margaret Peterson Haddix,
Jesse ,Gary Soto,
Jack,A. M. Homes,
Ironman,Chris Crutcher,
In the time of the butterflies,Julia Alvarez,
Ida B,Katherine Hannigan,
On the Come Up,Angie Thomas,
I am the messengar,Markus Zusak,
I am not your perfect mexican daughter,Erika L. Sanchez,
How Maya got fierce,Sona Charaipotra,
Hoot,Carl Hiaasen,
Hoot,Carl Hiaasen,
Habibi,Naomi SHihal Nye,
good kings bad kings,Susan Nusbaum,
Ghosts,Raina Telgemeier,
Getting near to babby,Audrey Couloumbis,
Okay for Now,Gary D. Schmidt,
Forever in Blue The fourth summer of the sister hood,Ann Brashares,
Fangirl,Rainbow Rowell ,
"It's like this, cat",Emily Nelvile,
Fallen Angels,Walter Dean Myers,
Every Last word,Tamara Ireland Stone,
The mysterious Benedict society,Trenton lee Stewart,
Esparanza Rising,Pam Munoz Ryan,
Esparanza Rising,Pam Munoz Ryan,
Esparanza Rising,Pam Munoz Ryan,
Wuthering Heights,Emily Bronte,
My name is Chloe,Melody Carlson,
Drama,Raina Telgemeier,
Catalyst,Laurie Halse Anderson,
Catalyst,Laurie Halse Anderson,
Big Mouth & Ugly girl,Joyce Carol Oates,
Are you there god? It's me maragaret,Judy Blume,
Amina's Voice,Hena Khan,
Darius the great is not okay,Adib Khoram,
Adverters of the Huckleberry Finn,Mark Twain,
A thousand splendid suns,Khaled Hosseini,
Street of the Five moons,Elizabeth Peters,
Breathing Underwater,Alex Finn,
Providence,Caroline Kepnes,
Safe Haven,Nicholas Sparks,
Shadowland,alyson noel,
Never Let Me Go,Kazuo Ishiguro,
Commonwealth,Ann patchet,
Flipped,Wendelin Van Draanen,
Turtles All the way down,John Green,
Jacob Have I loved,Katherine Paterson,
A corner of the universe,Ann M. Martin,
